Name,Text,Like,Caption,Post_Category
nadia_ulfa04,Min ACC dong membership kartu aku😢,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
husnulkasma,"kapan ya bs buka koridor 4 ke gowa,",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
cips63,"Untuk yg dibali kapan ya kira"" ada jurusan ke Klungkung/ krngasem?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
_mamisinga,Bisa pindah koridor? Bagaimana cara mengetahui jika belum sampai 90 menit dan diperbolehkan pindah bus/koridor secara gratis?,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
arethaswahyu,Kapan ya teman bus Surabaya tambah koridor lagi? Trans Semanggi koridor 2 udah diambil alih Pemkot.,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
friiaccount,"Untuk pengurusan kartu khusus di kota Medan, dilakukan dimana ya Min?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
envieta,Belum ada mesin untuk pakai kartu elektronik nya gara2 perpindahan sistem @teman_bus,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
miyanagideswira,Waduhh gercep. Selamat!,2 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
transit.smr,"Selamat warga balikpapan, doakan samarinda cepat nyusul ya 👏👏👏",12 likes,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
sivalimaitri,Cara naik teman bus gimana ya yg d bali? Apa mkah bisa langsubg kita nunggu d halte ga perlu k terminal dlu?,1 like,"Halo Balikpapan! Siap untuk perubahan transportasi di kota kamu?Mulai hari ini, Teman Bus resmi mengaspal di jalanan Balikpapan! Teman bus akan menjadi transportasi yang ekonomis, mudah, andal dan nyaman di kota kamu.Yuk, jadi bagian dari perubahan!Download app Mitra darat sekarang dan rasakan sendiri keseruannya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
